Aggregation analysis,PioViewer 1.10.24.2
File, D:\Pio Solver\Analysis\3BP[100BB] [(Zeros)SB17%vsBU18%(to BB)][95 flops]\2s3dTc.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 2346 Freq,BET 2346 EV,BET 1241 Freq,BET 1241 EV,BET 578 Freq,BET 578 EV,CHECK Freq,CHECK EV
Ac 7d 4s,100,56.77,872.384,90.3904,43.23,683.819,93.053,0.92,1095.60,2.46,956.98,79.71,900.51,16.90,715.20
Qc 7d 4s,100,54.65,837.394,90.1334,45.35,710.897,92.2119,2.37,989.85,31.58,921.85,43.86,885.44,22.20,606.12
Td 7s 4s,100,51.85,774.11,87.8159,48.15,785.017,95.9109,20.68,943.64,17.13,923.31,13.24,886.08,48.95,619.98
Kc 8d 4s,100,51.19,781.163,89.7632,48.81,774.341,93.322,2.34,991.03,30.95,942.92,16.62,906.11,50.09,629.93
Tc 8d 4s,100,53.15,812.181,89.881,46.85,736.41,92.4694,5.08,957.52,56.91,889.09,8.70,894.15,29.31,613.32
As 8s 4s,100,55.33,806.571,85.7523,44.67,762.009,100.341,0.30,945.95,1.01,1051.63,1.51,970.95,97.18,801.04
Jc 9d 4s,100,56.15,844.01,88.4184,43.85,706.576,94.787,3.67,1044.35,21.76,935.62,51.13,885.40,23.44,637.29
Qs 9d 4s,100,55.69,831.147,87.797,44.31,726.907,96.4923,5.97,1071.54,14.47,994.69,30.90,915.36,48.66,699.54
Kd Qs 4s,100,57.62,906.639,92.5612,42.38,655.065,90.9183,4.56,1110.61,26.53,1091.35,13.14,981.42,55.77,784.49
8s 7s 5d,100,47.15,609.188,75.9959,52.85,955.229,106.326,1.01,841.20,1.88,868.84,6.14,851.99,90.97,584.86
As 7s 5d,100,56.10,834.799,87.5266,43.90,730.669,97.9143,11.30,1027.59,3.64,1012.50,28.59,928.31,56.47,737.44
Ts 9s 5d,100,54.61,869.991,93.7177,45.39,683.51,88.5732,8.49,977.46,52.58,967.53,11.36,906.52,27.57,635.77
6s 5s 5d,100,51.76,730.562,83.0277,48.24,827.345,100.884,3.40,952.50,20.14,923.83,14.06,883.00,62.40,621.74
Tc 5s 5d,100,56.79,937.337,97.0979,43.21,609.47,82.9609,0.54,937.37,42.57,960.99,55.64,924.53,1.25,702.04
Kc 6d 5s,100,51.51,793.555,90.6238,48.49,762.216,92.4636,4.01,971.40,32.86,936.25,19.34,914.52,43.80,616.84
9s 7s 5s,100,49.82,730.977,86.3125,50.18,832.521,97.5874,0.24,929.12,1.09,1024.86,15.30,929.29,83.37,690.17
Ts 9d 5s,100,54.67,874.799,94.1267,45.33,677.758,87.9501,5.28,980.77,57.41,967.11,11.23,906.07,26.09,636.81
Qc Jd 5s,100,60.92,1063.75,102.722,39.08,498.233,74.985,15.45,1236.61,3.89,1180.94,79.27,1028.06,1.38,846.99
Qs Ts 5s,100,57.82,872.028,88.714,42.18,691.2,96.3969,0.29,954.51,1.28,1032.95,26.97,989.67,71.47,824.43
Js 8s 6d,100,53.22,786.786,86.9564,46.78,773.153,97.2281,19.55,962.34,7.53,918.09,26.12,885.75,46.80,637.10
Ks 9s 6d,100,52.10,807.258,91.1426,47.90,755.71,92.8057,17.29,1004.70,14.69,1005.43,11.29,940.69,56.73,669.24
Qc 6s 6d,100,56.61,842.601,87.5481,43.39,705.371,95.6362,0.28,922.64,1.58,921.76,83.51,866.53,14.62,695.87
Qs 7d 6s,100,53.19,800.867,88.5648,46.81,757.075,95.1424,10.78,1015.29,7.98,937.46,40.03,895.95,41.21,625.93
Jc 8d 6s,100,53.57,811.928,89.1507,46.43,743.061,94.1461,22.75,985.02,8.95,862.35,36.88,878.85,31.42,593.68
Js 8s 6s,100,53.84,826.581,90.3151,46.16,733.427,93.4561,0.30,918.29,1.46,1033.13,37.85,947.09,60.39,745.61
Qs 8s 6s,100,53.82,839.429,91.745,46.18,721.562,91.9139,0.50,951.98,2.64,1061.06,36.91,970.17,59.96,748.28
As 9d 6s,100,57.06,873.756,90.0825,42.94,689.972,94.5103,13.74,1033.90,3.28,1012.63,40.94,937.91,42.04,748.11
Kc 9d 6s,100,52.58,843.813,94.4001,47.42,714.959,88.6901,20.99,1061.86,8.03,956.64,26.99,907.79,43.99,679.91
Ks 9d 6s,100,52.29,818.402,92.0688,47.71,744.277,91.7618,16.89,1018.01,16.22,1021.65,11.85,946.52,55.04,669.68
Ac Qd 6s,100,64.87,1093.83,99.1902,35.13,474.048,79.3727,6.69,1173.96,3.63,1182.92,88.51,1085.89,1.16,958.87
Ac Td 6s,100,60.48,1047.65,101.898,39.52,512.309,76.2517,21.86,1169.30,7.57,1120.04,67.43,1008.81,3.14,860.54
Qc Td 6s,100,58.80,965.814,96.6174,41.20,589.57,84.1794,18.59,1204.77,5.74,1023.38,72.48,910.61,3.20,724.90
Qd Ts 6s,100,58.32,935.663,94.3757,41.68,623.393,87.9782,19.44,1114.98,12.35,1033.44,43.34,938.19,24.87,742.56
9s 8s 7d,100,49.13,657.705,78.7511,50.87,899.403,103.998,0.44,781.80,1.39,867.20,9.21,866.05,88.96,632.26
Js Ts 7d,100,56.17,793.625,83.1052,43.83,764.223,102.575,2.95,879.70,22.78,947.01,19.40,890.18,54.87,691.19
9c 7s 7d,100,51.97,695.962,78.7765,48.03,857.731,105.045,0.67,849.38,26.02,843.15,4.53,850.45,68.78,628.62
Ks 7s 7d,100,53.05,772.087,85.6123,46.95,787.164,98.6225,0.93,1052.90,8.81,1034.90,27.90,875.97,62.36,684.32
Jc 8d 7s,100,53.56,801.532,88.023,46.44,755.291,95.6785,23.28,935.21,4.77,938.41,34.02,886.21,37.93,626.34
